Feature,Importance
feature_5,0.30629802
feature_30,0.016469484
feature_1638,0.007252463
feature_2953,0.0052064075
feature_33,0.004836302
feature_16,0.0044470537
feature_109,0.0042453394
feature_2927,0.0042334995
feature_1584,0.0038138053
feature_2350,0.003806419
feature_3156,0.0036136655
feature_32,0.0035769932
feature_22,0.0035729872
feature_27,0.0035649533
feature_4250,0.0035463972
feature_4631,0.003522085
feature_4799,0.0035162696
feature_2066,0.0034528407
feature_4181,0.0032139658
feature_1896,0.0032016446
feature_1190,0.0031641345
feature_671,0.003101868
feature_3315,0.0030819785
feature_19,0.0030738034
feature_1260,0.0030498784
feature_0,0.0030371128
feature_3130,0.003003636
feature_3286,0.0029896507
feature_5990,0.0029893024
feature_3102,0.0029166671
feature_3705,0.0028883906
feature_2084,0.0028882476
feature_5723,0.0028806461
feature_4216,0.0028636232
feature_1370,0.0028568194
feature_4956,0.0028446768
feature_389,0.0028059944
feature_530,0.0028025939
feature_1,0.002792461
feature_4783,0.0027684413
feature_5027,0.0027613568
feature_25,0.0026718187
feature_2196,0.0026483461
feature_2954,0.0026020035
feature_4883,0.0025961802
feature_4595,0.0025860944
feature_5061,0.0025846378
feature_5641,0.0025834155
feature_5359,0.0025591266
feature_4787,0.0025524984
feature_246,0.0025270516
feature_18,0.0024861952
feature_1070,0.002484141
feature_4183,0.0024835006
feature_2135,0.0024615736
feature_4960,0.0024540506
feature_2031,0.002448504
feature_5295,0.0024459593
feature_4542,0.0024389806
feature_3306,0.0024300297
feature_4528,0.0024261298
feature_3283,0.0024099723
feature_5146,0.0023864212
feature_105,0.002366664
feature_199,0.002348501
feature_3280,0.002338719
feature_5857,0.0023280259
feature_2048,0.0023088772
feature_581,0.0022916931
feature_3719,0.0022907204
feature_2059,0.0022896347
feature_5118,0.0022792218
feature_2560,0.0022791976
feature_2,0.0022767475
feature_4326,0.0022746713
feature_1019,0.0022600542
feature_3167,0.0022486912
feature_1061,0.002246889
feature_1879,0.002243118
feature_734,0.0022364263
feature_4581,0.0022325173
feature_5006,0.0022306705
feature_5307,0.00222555
feature_4589,0.0022117803
feature_7,0.0022115756
feature_5148,0.002201374
feature_2704,0.0021910407
feature_201,0.0021862737
feature_3848,0.0021622712
feature_3208,0.00216169
feature_5402,0.0021595526
feature_2461,0.0021585058
feature_1087,0.0021561221
feature_4131,0.0021482452
feature_2413,0.0021375704
feature_1191,0.0021343348
feature_1959,0.0021342617
feature_3716,0.0021329215
feature_2920,0.0021303254
feature_5893,0.0021302816
feature_712,0.0021302628
feature_23,0.0021220688
feature_4692,0.0021206215
feature_1063,0.002115278
feature_269,0.0021125537
feature_2798,0.002111075
feature_8,0.0021082673
feature_3405,0.0021026132
feature_3470,0.0020964444
feature_5035,0.002091728
feature_2758,0.002085622
feature_1765,0.0020742905
feature_2279,0.0020727697
feature_6115,0.0020700546
feature_3203,0.0020593486
feature_14,0.0020583272
feature_1865,0.002055663
feature_3260,0.00204469
feature_209,0.0020315237
feature_2019,0.0020303712
feature_5668,0.0020233472
feature_3287,0.00201753
feature_4302,0.0020017303
feature_28,0.001999099
feature_5119,0.001987757
feature_3303,0.0019783028
feature_3948,0.0019776293
feature_1904,0.0019634939
feature_3319,0.0019589704
feature_708,0.0019583085
feature_3,0.001952188
feature_5635,0.0019380698
feature_5669,0.001938059
feature_695,0.0019343945
feature_704,0.0019212335
feature_1680,0.0019208671
feature_96,0.0019125731
feature_3276,0.001912399
feature_1894,0.001900999
feature_17,0.0018997224
feature_4339,0.0018996161
feature_2095,0.0018950284
feature_1854,0.0018829653
feature_3259,0.0018806085
feature_1759,0.0018774779
feature_1579,0.0018707105
feature_2339,0.0018571748
feature_4785,0.0018493691
feature_5325,0.0018469592
feature_66,0.0018415436
feature_3923,0.0018348711
feature_3165,0.0018301584
feature_15,0.0018249147
feature_1925,0.0018239956
feature_700,0.001822263
feature_2695,0.0018218431
feature_5627,0.0018202718
feature_251,0.001818412
feature_4676,0.0018157874
feature_2020,0.001811427
feature_1917,0.001804309
feature_2806,0.0017989911
feature_2275,0.0017981504
feature_4280,0.0017931676
feature_4582,0.001790508
feature_24,0.0017895814
feature_2650,0.0017887458
feature_5406,0.0017829635
feature_2814,0.0017789048
feature_718,0.0017779458
feature_1091,0.0017723421
feature_689,0.0017651615
feature_5689,0.001762917
feature_1639,0.0017600433
feature_1582,0.0017585828
feature_1455,0.0017585028
feature_3179,0.00175047
feature_3039,0.0017471907
feature_3146,0.0017462816
feature_1030,0.0017449907
feature_3581,0.0017434891
feature_1042,0.0017429795
feature_2447,0.0017330521
feature_1273,0.0017328667
feature_324,0.0017322948
feature_5523,0.0017282333
feature_1924,0.0017279622
feature_938,0.0017217242
feature_740,0.0017196464
feature_585,0.001719296
feature_4893,0.0017182606
feature_204,0.0017172009
feature_1861,0.0017047165
feature_1853,0.0016953842
feature_1097,0.0016918614
feature_3159,0.0016911726
feature_1486,0.0016881529
feature_4337,0.001674962
feature_2932,0.0016743564
feature_2325,0.0016741416
feature_3299,0.0016668433
feature_5882,0.0016656484
feature_1731,0.0016638949
feature_4313,0.0016523317
feature_4,0.0016502327
feature_5610,0.001645683
feature_1416,0.0016452719
feature_5223,0.0016424477
feature_1423,0.0016396374
feature_2789,0.0016391182
feature_5986,0.0016363683
feature_3196,0.001635226
feature_1681,0.0016325155
feature_270,0.0016316241
feature_13,0.0016312654
feature_5164,0.0016305796
feature_5690,0.0016282846
feature_5381,0.0016248644
feature_29,0.0016240221
feature_3485,0.0016185632
feature_3166,0.0016174356
feature_3857,0.0016149132
feature_296,0.0016067083
feature_2586,0.0016059818
feature_2183,0.0016051005
feature_3255,0.0016012988
feature_5370,0.001600544
feature_473,0.0015978332
feature_509,0.00159745
feature_1439,0.0015965166
feature_4651,0.0015948432
feature_1767,0.0015931566
feature_5548,0.0015930451
feature_5507,0.0015909172
feature_3689,0.0015893135
feature_6,0.0015888215
feature_2232,0.0015812797
feature_3879,0.0015786862
feature_20,0.0015761072
feature_4107,0.0015758201
feature_4823,0.0015756896
feature_3880,0.0015745999
feature_1864,0.0015731475
feature_3206,0.0015718078
feature_2604,0.0015701567
feature_5609,0.001570124
feature_5382,0.001565337
feature_1113,0.0015628347
feature_4197,0.0015510841
feature_248,0.0015507541
feature_3207,0.0015456395
feature_3180,0.0015452105
feature_4355,0.0015433247
feature_3284,0.0015395472
feature_5771,0.0015353588
feature_3449,0.0015323891
feature_2750,0.0015233699
feature_4349,0.0015211154
feature_5515,0.001520592
feature_5385,0.0015205002
feature_5912,0.001519205
feature_601,0.0015122395
feature_1224,0.0015060803
feature_3953,0.0014995795
feature_4132,0.001495138
feature_21,0.001489201
feature_31,0.0014861462
feature_2558,0.0014860461
feature_479,0.0014818469
feature_87,0.0014811666
feature_2140,0.001477533
feature_176,0.0014696786
feature_1246,0.0014662311
feature_3921,0.0014620287
feature_1302,0.0014610983
feature_6101,0.0014602387
feature_1058,0.0014584948
feature_895,0.0014578002
feature_1425,0.0014534119
feature_1480,0.001448256
feature_3995,0.0014374885
feature_1625,0.001433647
feature_3742,0.0014324458
feature_5122,0.0014309584
feature_5650,0.0014291492
feature_964,0.001425165
feature_1755,0.0014233043
feature_4667,0.0014224784
feature_2274,0.0014221421
feature_1843,0.0014169061
feature_231,0.0014137961
feature_1674,0.0014127764
feature_4673,0.0014089496
feature_5237,0.0014086528
feature_3468,0.0014054335
feature_2462,0.0014043881
feature_4220,0.0014043052
feature_5757,0.0014037383
feature_26,0.0014033391
feature_6213,0.0014030951
feature_5768,0.0013955123
feature_4322,0.0013914513
feature_717,0.0013910538
feature_3460,0.0013892378
feature_5390,0.0013870392
feature_4537,0.0013849249
feature_3174,0.0013778578
feature_1880,0.0013769595
feature_4330,0.0013693266
feature_2445,0.0013641287
feature_3186,0.0013587708
feature_2752,0.0013541954
feature_154,0.0013458731
feature_5673,0.001344736
feature_1592,0.0013429164
feature_3164,0.0013410787
feature_2901,0.001336371
feature_4287,0.0013296378
feature_5509,0.0013265811
feature_1371,0.0013235431
feature_2202,0.0013220529
feature_1006,0.0013138767
feature_6212,0.0013025054
feature_3082,0.0012824434
feature_4203,0.0012780585
feature_1080,0.0012751997
feature_3723,0.0012740621
feature_2845,0.0012541795
feature_5135,0.0012503816
feature_10,0.0012202178
feature_5508,0.0012194098
feature_4966,0.0011929016
feature_6210,0.001192823
feature_5039,0.0011848845
feature_11,0.0011732975
feature_1858,0.0011428384
feature_1494,0.0011174744
feature_3579,0.0011106998
feature_2449,0.0010491511
feature_12,0.0010408665
feature_5371,0.0010051624
feature_1932,0.00097606535
feature_3521,0.00096189004
feature_6211,0.0009042107
feature_1468,0.000851682
feature_1320,0.00083374005
feature_305,0.0008276509
feature_3131,0.0008025974
feature_2034,0.00067134347
feature_2454,0.0006613958
feature_1462,0.0006375808
feature_5189,0.0006212641
feature_149,0.00060269143
feature_3465,0.00056658726
feature_4800,0.00046938512
feature_9,0.00035706337
feature_5194,0.00035033733
feature_3348,0.00024134402
feature_845,0.00023117418
feature_4915,0.0001574182
feature_3293,0.00011860078
feature_5174,6.6070366e-05
feature_4623,5.9495054e-05
feature_4263,0.0
feature_4262,0.0
feature_4261,0.0
feature_4260,0.0
feature_4208,0.0
feature_4209,0.0
feature_4259,0.0
feature_4210,0.0
feature_4258,0.0
feature_4212,0.0
feature_4257,0.0
feature_4213,0.0
feature_4214,0.0
feature_4256,0.0
feature_4255,0.0
feature_4254,0.0
feature_4253,0.0
feature_4211,0.0
feature_4276,0.0
feature_4275,0.0
feature_4200,0.0
feature_4202,0.0
feature_4274,0.0
feature_4273,0.0
feature_4272,0.0
feature_4271,0.0
feature_4207,0.0
feature_4270,0.0
feature_4269,0.0
feature_4268,0.0
feature_4267,0.0
feature_4266,0.0
feature_4205,0.0
feature_4265,0.0
feature_4264,0.0
feature_4206,0.0
feature_4204,0.0
feature_4239,0.0
feature_4222,0.0
feature_4223,0.0
feature_4238,0.0
feature_4237,0.0
feature_4224,0.0
feature_4225,0.0
feature_4236,0.0
feature_4215,0.0
feature_4234,0.0
feature_4233,0.0
feature_4232,0.0
feature_4226,0.0
feature_4231,0.0
feature_4230,0.0
feature_4229,0.0
feature_4228,0.0
