Feature,Importance
num__DEP_DELAY,0.30629802
cat__OP_UNIQUE_CARRIER_WN,0.016469484
cat__ROUTE_11298_10372,0.007252463
cat__ROUTE_12478_14771,0.0052064075
cat__OP_UNIQUE_CARRIER_ZW,0.004836302
cat__OP_UNIQUE_CARRIER_B6,0.0044470537
cat__ROUTE_10257_13930,0.0042453394
cat__ROUTE_12478_12892,0.0042334995
cat__ROUTE_11292_14107,0.0038138053
cat__ROUTE_11986_13930,0.003806419
cat__ROUTE_12892_11697,0.0036136655
cat__OP_UNIQUE_CARRIER_YX,0.0035769932
cat__OP_UNIQUE_CARRIER_HA,0.0035729872
cat__OP_UNIQUE_CARRIER_PT,0.0035649533
cat__ROUTE_13930_12266,0.0035463972
cat__ROUTE_14107_11618,0.003522085
cat__ROUTE_14122_13204,0.0035162696
cat__ROUTE_11618_13930,0.0034528407
cat__ROUTE_13930_10372,0.0032139658
cat__ROUTE_11433_13303,0.0032016446
cat__ROUTE_11066_13930,0.0031641345
cat__ROUTE_10713_14747,0.003101868
cat__ROUTE_12953_14635,0.0030819785
cat__OP_UNIQUE_CARRIER_F9,0.0030738034
cat__ROUTE_11193_13930,0.0030498784
num__MONTH,0.0030371128
cat__ROUTE_12892_10372,0.003003636
cat__ROUTE_12953_12266,0.0029896507
cat__ROUTE_15096_13930,0.0029893024
cat__ROUTE_12889_14679,0.0029166671
cat__ROUTE_13303_11503,0.0028883906
cat__ROUTE_11618_14843,0.0028882476
cat__ROUTE_14869_14747,0.0028806461
cat__ROUTE_13930_11278,0.0028636232
cat__ROUTE_11278_10693,0.0028568194
cat__ROUTE_14492_11278,0.0028446768
cat__ROUTE_10423_14679,0.0028059944
cat__ROUTE_10620_11292,0.0028025939
num__DAY_OF_MONTH,0.002792461
cat__ROUTE_14122_11057,0.0027684413
cat__ROUTE_14570_12892,0.0027613568
cat__OP_UNIQUE_CARRIER_OH,0.0026718187
cat__ROUTE_11697_12478,0.0026483461
cat__ROUTE_12478_14843,0.0026020035
cat__ROUTE_14303_14747,0.0025961802
cat__ROUTE_14100_15304,0.0025860944
cat__ROUTE_14576_13930,0.0025846378
cat__ROUTE_14843_14100,0.0025834155
cat__ROUTE_14747_12173,0.0025591266
cat__ROUTE_14122_11298,0.0025524984
cat__ROUTE_10397_13204,0.0025270516
cat__OP_UNIQUE_CARRIER_DL,0.0024861952
cat__ROUTE_11057_11618,0.002484141
cat__ROUTE_13930_10408,0.0024835006
cat__ROUTE_11638_14679,0.0024615736
cat__ROUTE_14492_11618,0.0024540506
cat__ROUTE_11618_11057,0.002448504
cat__ROUTE_14730_11057,0.0024459593
cat__ROUTE_14100_11298,0.0024389806
cat__ROUTE_12953_14027,0.0024300297
cat__ROUTE_14100_10693,0.0024261298
cat__ROUTE_12953_11996,0.0024099723
cat__ROUTE_14679_12478,0.0023864212
cat__ROUTE_10257_13204,0.002366664
cat__ROUTE_10397_11278,0.002348501
cat__ROUTE_12953_11697,0.002338719
cat__ROUTE_14986_13930,0.0023280259
cat__ROUTE_11618_12264,0.0023088772
cat__ROUTE_10693_11057,0.0022916931
cat__ROUTE_13303_12339,0.0022907204
cat__ROUTE_11618_13303,0.0022896347
cat__ROUTE_14679_10397,0.0022792218
cat__ROUTE_12217_13930,0.0022791976
num__ORIGIN_AIRPORT_ID,0.0022767475
cat__ROUTE_13930_15096,0.0022746713
cat__ROUTE_11042_14100,0.0022600542
cat__ROUTE_12892_12889,0.0022486912
cat__ROUTE_11057_11278,0.002246889
cat__ROUTE_11433_12264,0.002243118
cat__ROUTE_10721_14843,0.0022364263
cat__ROUTE_14100_14635,0.0022325173
cat__ROUTE_14524_12953,0.0022306705
cat__ROUTE_14730_12953,0.00222555
cat__ROUTE_14100_14843,0.0022117803
num__DISTANCE,0.0022115756
cat__ROUTE_14679_12889,0.002201374
